"country","total_cases","new_cases","total_deaths","new_deaths","total_recovered","new_recovered","active_cases","serious_critical","tot_cases_1m_pop","deaths_1m_pop","total_tests","tests_1m_pop","population","continent","x1_caseevery_x_ppl","x1_deathevery_x_ppl","x1_testevery_x_ppl","fatality_rate","population_2020","yearly_change","net_change","density_km2","land_area_km2","migrants_net","fert_rate","med_age","urban_pop_percent","world_share"
"Cayman Islands",203,0,1,0,202,0,0,0,3086,15,28904,439444,"65,774","North America","324","65,774","2",0.0049,65722,0.0119,774,274,240,,,,0.972,0
"Gibraltar",185,0,0,0,180,0,5,0,5491,0,19594,581597,"33,690","Europe","182","","2",0,33691,-3e-04,-10,3369,10,,,,,0
"Bermuda",153,0,9,0,139,0,5,1,2457,145,18320,294245,"62,261","North America","407","6,918","3",0.0588,62278,-0.0036,-228,1246,50,,,,0.974,0
"Trinidad and Tobago",147,0,8,0,128,0,11,0,105,6,6500,4643,"1,399,814","North America","9,523","174,977","215",0.0544,1399488,0.0032,4515,273,5130,-800,1.7299,36,0.524,0
"Brunei",141,0,3,0,138,0,0,0,322,7,37058,84652,"437,768","Asia","3,105","145,923","12",0.0213,437479,0.0097,4194,83,5270,0,1.8482,32,0.795,0
"Aruba",119,0,3,0,102,0,14,0,1114,28,9415,88157,"106,798","North America","897","35,599","11",0.0252,106766,0.0043,452,593,180,201,1.9,41,0.436,0
"Monaco",116,0,4,0,104,0,8,0,2955,102,38209,973180,"39,262","Europe","338","9,816","1",0.0345,39242,0.0071,278,26337,1,,,,,0
"Seychelles",114,0,0,0,39,0,75,0,1159,0,0,0,"98,390","Africa","863","","",0,98347,0.0062,608,214,460,-200,2.46,34,0.562,0
"Barbados",108,0,7,0,94,0,7,0,376,24,10140,35282,"287,401","North America","2,661","41,057","28",0.0648,287375,0.0012,350,668,430,-79,1.62,40,0.312,0
"Turks and Caicos",97,5,2,0,35,7,60,1,2503,52,1103,28463,"38,752","North America","400","19,376","35",0.0206,38717,0.0138,526,41,950,,,,0.893,0
"Sint Maarten",93,0,15,0,63,0,15,0,2167,350,612,14263,"42,909","North America","461","2,861","70",0.1613,42876,0.0115,488,1261,34,,,,0.965,0
"Bhutan",93,1,0,0,85,0,8,0,120,0,41428,53650,"772,187","Asia","8,303","","19",0,771608,0.0112,8516,20,38117,320,2,28,0.458,0
"Liechtenstein",86,0,1,0,81,0,4,0,2255,26,900,23600,"38,136","Europe","443","38,136","42",0.0116,38128,0.0029,109,238,160,,,,0.146,0
"Antigua and Barbuda",82,0,3,0,60,0,19,1,837,31,1189,12135,"97,985","North America","1,195","32,662","82",0.0366,97929,0.0084,811,223,440,0,2,34,0.262,0
"Papua New Guinea",62,23,0,0,11,0,51,0,7,0,10000,1116,"8,957,907","Australia/Oceania","144,482","","896",0,8947024,0.0195,170915,20,452860,-800,3.5883,22,0.131,0.001
"French Polynesia",62,0,0,0,60,0,2,0,221,0,4649,16543,"281,023","Australia/Oceania","4,533","","60",0,280908,0.0058,1621,77,3660,-1000,1.95,34,0.641,0
"St. Vincent Grenadines",52,0,0,0,39,0,13,0,469,0,1834,16528,"110,965","North America","2,134","","61",0,110940,0.0032,351,284,390,-200,1.9019,33,0.529,0
"Saint Martin",49,0,3,0,41,0,5,1,1266,78,1080,27900,"38,709","North America","790","12,903","36",0.0612,38666,0.0175,664,730,53,,,,0,0
"Belize",48,0,2,0,26,0,20,0,121,5,3166,7953,"398,094","North America","8,294","199,047","126",0.0417,397628,0.0186,7275,17,22810,1200,2.32,25,0.461,0
"Macao",46,0,0,0,46,0,0,0,71,0,4071,6264,"649,927","Asia","14,129","","160",0,649335,0.0139,8890,21645,30,5000,1.2,39,,0
"Curaçao",29,0,1,0,24,0,4,0,177,6,1080,6580,"164,141","North America","5,660","164,141","152",0.0345,164093,0.0041,669,370,444,515,1.76,42,0.887,0
"Fiji",27,0,0,0,18,0,9,0,30,0,4000,4460,"896,900","Australia/Oceania","33,219","","224",0,896445,0.0073,6492,49,18270,-6202,2.7874,28,0.591,0
"Saint Lucia",24,0,0,0,22,0,2,0,131,0,2934,15973,"183,687","North America","7,654","","63",0,183627,0.0046,837,301,610,0,1.4442,34,0.186,0
"Timor-Leste",24,0,0,0,24,0,0,0,18,0,1568,1188,"1,320,056","Asia","55,002","","842",0,1318445,0.0196,25326,89,14870,-5385,4.1,21,0.328,0
"Grenada",23,0,0,0,23,0,0,0,204,0,5465,48552,"112,560","North America","4,894","","21",0,112523,0.0046,520,331,340,-200,2.0732,32,0.355,0
"New Caledonia",22,0,0,0,22,0,0,0,77,0,10119,35420,"285,687","Australia/Oceania","12,986","","28",0,285498,0.0097,2748,16,18280,502,1.97,34,0.719,0
"Laos",20,0,0,0,19,0,1,0,3,0,25501,3502,"7,282,576","Asia","364,129","","286",0,7275560,0.0148,106105,32,230800,-14704,2.7,24,0.357,0.001
"Dominica",18,0,0,0,18,0,0,0,250,0,1005,13959,"71,999","North America","4,000","","72",0,71986,0.0025,178,96,750,,,,0.741,0
"Falkland Islands",13,0,0,0,13,0,0,0,3729,0,1816,520941,"3,486","South America","268","","2",0,3480,0.0305,103,0,12170,,,,0.66,0
"Greenland",13,0,0,0,13,0,0,0,229,0,5666,99794,"56,777","North America","4,367","","10",0,56770,0.0017,98,0,410450,,,,0.873,0
"Montserrat",12,0,1,0,10,0,1,0,2404,200,61,12220,"4,992","North America","416","4,992","82",0.0833,4992,6e-04,3,50,100,,,,0.096,0
"Caribbean Netherlands",11,0,0,0,7,0,4,0,419,0,424,16159,"26,240","North America","2,385","","62",0,26223,0.0094,244,80,328,,,,0.75,0
"Western Sahara",10,0,1,0,8,0,1,0,17,2,0,0,"598,239","Africa","59,824","598,239","",0.1,597339,0.0255,14876,2,266000,5582,2.4149,28,0.868,0
"British Virgin Islands",8,0,1,0,7,0,0,0,265,33,439,14515,"30,245","North America","3,781","30,245","69",0.125,30231,0.0067,201,202,150,,,,0.524,0
"St. Barth",7,0,0,0,6,0,1,0,709,0,1246,126126,"9,879","North America","1,411","","8",0,9877,0.003,30,470,21,,,,0,0
"Anguilla",3,0,0,0,3,0,0,0,200,0,380,25313,"15,012","North America","5,004","","40",0,15003,0.009,134,167,90,,,,,0
"China",83830,46,4634,0,78908,19,288,6,58,3,90410000,62814,"1,439,323,776","Asia","17,170","310,601","16",0.0553,1439323776,0.0039,5540090,153,9388211,-348399,1.69,38,0.608,0.185
